frame,plate,open_pct,nominal_open_pct,slot_len_mm,mean_width_mm,wear_pct,verdict,n_holes_detected
100,1,13.11,9.95,51.2,5.27,31.7,WATCH,40
100,2,13.48,6.51,33.5,8.29,107.2,REJECT,25
100,3,11.86,7.62,39.2,6.22,55.5,REJECT,14
