cx,cy,x_mm,y_mm,width_px_rect,width_px_sub,width_mm,length_mm,angle,spread,dark_frac,grade,plate,frame
58.6,805.1,14.6,201.3,29.6,28.01,7.0,107.8,-85.5,0.088,0.0,REJECT,1,100
275.8,49.1,68.9,12.3,15.54,13.6,3.4,24.8,-85.3,0.17,0.0,GOOD,1,100
